Title,Image URL,Tags,Publisher,Link,Description
Battle of the chocolate bars,assets/ThePuddingCup_Winner.png,"Late PoV, Award Winning",The Pudding,https://surbhi-bh.github.io/chocolate-wars/,Winner of The Pudding Cup
Climate action needs more women on board,assets/GlobalPartnership_WorldBank_Finalist.png,"Gender, Economy",World Bank,https://surbhi-bh.github.io/sdg17-climate-action-and-gender-equality.html,World Bank Global Partnership Finalist
Bollywood's gender revolution,assets/SABEW_NikkeiAsia.png,"Gender, Entertainment, Award Winning",Nikkei Asia,https://asia.nikkei.com/Spotlight/The-Big-Story/Bollywood-s-gender-revolution-Women-are-rewriting-the-rules,SABEW Award Winner
The rise of Gurgaon,assets/Gurgaon.png,"Economy, Late PoV",Personal Project,https://surbhi-bh.github.io/the-rise-of-gurgaon/,Analysis of Gurgaon's development
Shall we call it the Metropolitan Museum of Art?,assets/MET_cats.png,"Entertainment, Culture",Personal Project,https://surbhi-bh.github.io/cats-at-the-met-museum/,Analysis of cats in Met Museum
Why there have been so few women in India's Administrative Services,assets/IndiaSpend_IAS.png,"Gender, Policy",IndiaSpend,https://www.indiaspend.com/gendercheck/why-there-have-been-so-few-women-in-indias-administrative-services-795991,Gender analysis in Indian bureaucracy
Bollywood's eternal struggle with original ideas,assets/bwood_remakes.png,"Entertainment, Data Analysis",Mint,https://www.livemint.com/industry/media/bollywoods-eternal-struggle-with-original-ideas-here-s-what-data-shows-11661772790605.html,Analysis of Bollywood remakes
The real value of India's passport,assets/TMC_passport.png,"Economy, Policy",The Morning Context,https://themorningcontext.com/chaos/the-real-value-of-indias-passport,Analysis of Indian passport value
India's fiscal performance in nine charts,assets/Mint_FiscalDeficit.png,"Economy, Data Analysis",Mint,https://www.livemint.com/news/india/india-s-fiscal-performance-in-nine-charts-11581857139177.html,Analysis of India's fiscal performance
Around the Wordle in 365 days,assets/Wordle.png,"Entertainment, Data Analysis",Personal Project,https://surbhi-bh.github.io/words_of_wordle.html,Analysis of Wordle words
What the Nobel says about economics,assets/NobelPrize.png,"Economy, Award Winning",Mint,https://www.livemint.com/news/india/what-the-nobel-says-about-economics-11571680373108.html,Analysis of Nobel Prize in Economics
Needed: A new relationship contract between RBI and govt,assets/Mint_RBI.png,"Economy, Policy",Mint,,
